year,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
1996,13.375,12.0375,12.0375,4416942,3616469,1.2213410373488616,14.70189273708692,242814.25,6897816,28.407789081571615,28.59549959642058,55.25376465086635,26.717862762590656,51.62569361939457,0.9741262219668788,0.9738366741632792,1.1783395859561152,1.1779893380813384
1997,13.82,12.505,12.505,4708818,3876844,1.2146008454299424,15.18858357210143,249208.5,7338228,29.44613847440998,28.9162313514626,56.05995769725595,27.024875163331103,52.393181532396845,0.9850521794501674,0.9850269380672687,1.1955324267785645,1.1955017919630881
1998,14.230833333333333,13.005833333333333,13.005833333333333,5071138,4181616,1.2127220672582084,15.772461086415715,254418,7753080,30.47378723203547,29.6261152430041,57.24027008090944,27.687261411757614,53.49423331443997,1.0092348838289023,1.0091701873574908,1.2207037216983094,1.2206254691282699
1999,14.7075,13.480833333333333,13.480833333333333,5402682,4457926,1.2119272504747725,16.33778927577533,258906.25,8232238,31.796211949305974,30.059658974634953,58.50138422941513,28.071292482923063,54.63167325835299,1.0240038622804573,1.0231676969802574,1.2475981918395451,1.2465794473259402
2000,15.263333333333334,14.011666666666667,14.011666666666667,5847146,4824946,1.2118572933251481,16.980140441640867,262641,8739727,33.27632395551342,30.214562773977192,59.21208852757299,28.316881265912855,55.4931637728709,1.0292807714078103,1.0321191376611136,1.2627546434174637,1.2662368421193548
2001,15.780833333333334,14.540000000000001,14.540000000000001,6038348,4953635,1.2189731379078192,17.723869425179693,259666.75,8982418,34.59209929650215,30.66359080759814,59.846862587286935,28.90537094173601,56.41530287953035,1.0445772337225705,1.05356893825989,1.2762918097521976,1.2872781097463064
2002,16.330833333333334,14.960833333333333,14.960833333333333,6135115,4995843,1.22804399577809,18.372561546836707,256132.5,9271124,36.19659355997384,31.291857100052056,61.64946734835575,29.594438628001175,58.305308376435136,1.0659795759965232,1.0786846965759116,1.3147340871467215,1.3304040450738377
2003,16.7975,15.363333333333333,15.363333333333333,6353606,5138269,1.236526542304422,18.997169444936937,254932.5,9737351,38.19580084924441,31.636131325463918,63.607758790087146,29.9760530851927,60.269997443937605,1.0777075246336931,1.0925941232806688,1.3564965324970402,1.3752341018131318
2004,17.1875,15.680833333333334,15.680833333333334,6719488,5421014,1.2395260370107881,19.436801198693335,257833,10395355,40.31817106421598,31.526912558024964,65.39694678394311,29.920360940251005,62.064442516046505,1.0739869089146201,1.0905642059295333,1.3946526844479432,1.4161795499905634
2005,17.5925,16.1125,16.1125,7066107,5691379,1.2415456781212426,20.00440473872852,261631.25,11068144,42.30436539977545,31.38260841169946,66.36645032862818,29.92743400226668,63.289116574334244,1.0690710845765898,1.0908220112506664,1.4153282784576136,1.4441240265127306
2006,18.018333333333334,16.7425,16.7425,7479676,6056739,1.234934508487158,20.67589100834624,266802,11691413,43.82055981589343,31.415887149306617,66.58294732932336,30.059564619826457,63.708352347721984,1.070204748663408,1.0956380267494703,1.4199452848782956,1.4536901017859063
2007,18.668333333333333,17.411666666666665,17.411666666666665,7878475,6396392,1.2317060930599626,21.44605592366238,268836.5,12221476,45.460627556154016,31.686001073664936,67.16691864840512,30.399784271791425,64.44043956084832,1.079406373406791,1.108038658390503,1.4323990339881538,1.4703947864331752
2008,19.335,18.059166666666666,18.059166666666666,8056826,6534095,1.2330439027899043,22.267745347800012,265596,12410894,46.72846729619422,31.68112091439691,66.482268385624,30.448098743253876,63.8947933045228,1.0792401272779435,1.1097996676681174,1.4177982097317816,1.457944290812638
2009,19.899166666666666,18.605,18.605,7759019,6249110,1.2416198466661652,23.100337247224004,250125.25,12106790,48.40291014201885,32.98055775398076,69.10526700606631,31.73963946488532,66.50512936314544,1.1235063760616104,1.156874904638833,1.473736173921286,1.5175066488225177
