year,quarter,bls_wage_goods,bls_wage_private,bls_wage_private_extended,nipa_comp,nipa_wage,nipa_comp_wage_ratio,bls_comp_private,bls_hours_millions,nipa_ndp,productivity,bls_comp_private_cpi_u_rs,productivity_cpi_u_rs,bls_comp_private_c_cpi_u,productivity_c_cpi_u,bls_comp_private_cpi_u_rs_index,bls_comp_private_c_cpi_u_index,productivity_cpi_u_rs_index,productivity_c_cpi_u_index
2001,1,15.563333333333333,14.356666666666666,14.356666666666666,6050126,4979459,1.2150167317373233,17.443590211975504,262171,8903787,33.96175396973731,30.373614838808663,59.135832806884025,28.6128707334333,55.70775651159418,1.034698994177022,1.04290762778844,1.2611284169528745,1.2711333953765247
2001,2,15.7,14.496666666666666,14.496666666666666,6040919,4961391,1.21758575367271,17.650934809075384,260521.00000000003,9004980,34.56527496823672,30.525654386903657,59.77743665599984,28.78642388325717,56.371555820681365,1.039878330529441,1.0492334489709518,1.2748112351045808,1.2862798942205944
2001,3,15.856666666666667,14.593333333333334,14.593333333333334,6024567,4935931,1.2205533262114077,17.81194154051181,258769,8986441,34.727656713130244,30.717395090143125,59.889212491847815,28.965690784331347,56.47394270462193,1.0464101152326297,1.0557675300941645,1.277194962131422,1.2886161467566002
2001,4,15.993333333333332,14.703333333333333,14.703333333333333,6037783,4937759,1.2227779849117788,17.97891230481952,257206.00000000003,9034474,35.12544030854645,31.037110522113515,60.63727073756374,29.265196010045933,57.175477478313404,1.0573014509408825,1.0666841657358745,1.2931480225083523,1.3046236892371799
2002,1,16.143333333333334,14.786666666666667,14.786666666666667,6060732,4945871,1.2254124703212033,18.119765727816194,255452,9145970,35.80308629409831,31.168494416186128,61.58624300129545,29.438129420262985,58.16719177293335,1.0617771376106924,1.0729873980922173,1.3133857672375149,1.3272525157687478
2002,2,16.25,14.883333333333333,14.883333333333333,6129140,4998318,1.226240507306658,18.25054621708076,256522,9238209,36.01332049492831,31.15095763708137,61.469361396877126,29.453680375004147,58.12016903403515,1.061179734641138,1.0735542132667606,1.3108931547933416,1.3261795561398113
2002,3,16.383333333333333,15.013333333333334,15.013333333333334,6156900,5012121,1.22840210761073,18.442410308929094,256201.00000000003,9319637,36.37627097474248,31.315853937270756,61.76817289853287,29.62279502878979,58.42874119739089,1.066797045483293,1.0797182561566534,1.3172655969855576,1.3332205214611024
2002,4,16.54,15.153333333333332,15.153333333333332,6193688,5027065,1.2320684136767677,18.669943361915283,256355.00000000003,9380693,36.5925884028008,31.511666237823206,61.762020921782124,29.847343664114565,58.49999330184601,1.0734675320718774,1.0879028066259657,1.3171344001742074,1.3348463440598801
2003,1,16.65,15.256666666666666,15.256666666666666,6213197,5027006,1.2359637127944545,18.856686378200727,255063,9479101,37.16376346236028,31.503380725305853,62.08854334521,29.865198816870983,58.859927047928146,1.0731852801399477,1.088553607280625,1.3240978043812972,1.3430592722662558
2003,2,16.753333333333334,15.323333333333332,15.323333333333332,6307294,5101360,1.2363946084965578,18.94568671752892,253967,9603972,37.81582646564318,31.707091043651882,63.28774831517313,30.062139091899894,60.004403748189404,1.080124818374521,1.0957318634213626,1.3496720018447947,1.3691738143880452
