name,year,quarter,frequency,value,source
nipa_ndp,2009,1,quarterly,12043461,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2009,2,quarterly,12012181,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2009,3,quarterly,12089901,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2009,4,quarterly,12281619,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2010,1,quarterly,12390059,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2010,2,quarterly,12597469,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2010,3,quarterly,12749833,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2010,4,quarterly,12896958,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2011,1,quarterly,12914215,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2011,2,quarterly,13093952,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2011,3,quarterly,13160104,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2011,4,quarterly,13333202,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2012,1,quarterly,13530535,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2012,2,quarterly,13643221,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2012,3,quarterly,13729394,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2012,4,quarterly,13810510,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2013,1,quarterly,14014978,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2013,2,quarterly,14064334,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2013,3,quarterly,14259065,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2013,4,quarterly,14457945,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2014,1,quarterly,14423011,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2014,2,quarterly,14716713,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2014,3,quarterly,14966200,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2014,4,quarterly,15047888,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2015,1,quarterly,15172323,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2015,2,quarterly,15366922,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2015,3,quarterly,15464802,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2015,4,quarterly,15484276,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2016,1,quarterly,15564500,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2016,2,quarterly,15716782,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2016,3,quarterly,15872394,"NIPA, Table 1.7.5, Line 30, Net domestic product"
nipa_ndp,2016,4,quarterly,16033540,"NIPA, Table 1.7.5, Line 30, Net domestic product"
